product_name,image_url,actual_price,ratings,discount,product_link,main_category,sub_category,vendor_name
"Redmi 13C (Stardust Black, 6GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera",https://m.media-amazon.com/images/I/71d1ytcCntL._AC_UY218_.jpg,"8,499",4.1,"₹13,999₹13,999",https://www.amazon.in/Stardust-Storage-Powered-MediaTek-Display/dp/B0CMTW9MVK/ref=sr_1_1?dib=eyJ2IjoiMSJ9.brV7rG-zDD0MO_wZuT9UcOPBRhwjFqRgViNaLmEuvDmaByzsL6Frscm22hpfygQWKhiGZdRqEYzLBf8iNjzHQjiV4bOn-JTUC3Fgr7a2Y48iBzfXRws0_akMFLydCwi4DqKlNczN69DhwxC7gPCdbd8Gv-5Oc7QYQZcTLj_4v_v8yFbBls6rbkHyxHG8Uyf7RAFB9lXCf6H7Yx4z92oSpowdNJUR8OIIJobc9AqcL-g.miAYZ7LU_Xgv6t5x6AlF3YxHlb6VTv4olkVLbwq9DGM&dib_tag=se&keywords=phones&qid=1716922939&sr=8-1,mobiles,,amazon
POCO C65 Pastel Blue 4GB RAM 128GB ROM,https://m.media-amazon.com/images/I/51Zjp5fq1EL._AC_UY218_.jpg,"6,799",3.8,"₹10,999₹10,999",https://www.amazon.in/POCO-C65-Pastel-Blue-128GB/dp/B0CQG4RX37/ref=sr_1_2?dib=eyJ2IjoiMSJ9.brV7rG-zDD0MO_wZuT9UcOPBRhwjFqRgViNaLmEuvDmaByzsL6Frscm22hpfygQWKhiGZdRqEYzLBf8iNjzHQjiV4bOn-JTUC3Fgr7a2Y48iBzfXRws0_akMFLydCwi4DqKlNczN69DhwxC7gPCdbd8Gv-5Oc7QYQZcTLj_4v_v8yFbBls6rbkHyxHG8Uyf7RAFB9lXCf6H7Yx4z92oSpowdNJUR8OIIJobc9AqcL-g.miAYZ7LU_Xgv6t5x6AlF3YxHlb6VTv4olkVLbwq9DGM&dib_tag=se&keywords=phones&qid=1716922939&sr=8-2,mobiles,,amazon
"Redmi 13C (Starshine Green, 4GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera",https://m.media-amazon.com/images/I/71hj88T5aBL._AC_UY218_.jpg,"7,699",4.1,"₹11,999₹11,999",https://www.amazon.in/Starshine-Storage-Powered-MediaTek-Display/dp/B0CMTZNPXR/ref=sr_1_3?dib=eyJ2IjoiMSJ9.brV7rG-zDD0MO_wZuT9UcOPBRhwjFqRgViNaLmEuvDmaByzsL6Frscm22hpfygQWKhiGZdRqEYzLBf8iNjzHQjiV4bOn-JTUC3Fgr7a2Y48iBzfXRws0_akMFLydCwi4DqKlNczN69DhwxC7gPCdbd8Gv-5Oc7QYQZcTLj_4v_v8yFbBls6rbkHyxHG8Uyf7RAFB9lXCf6H7Yx4z92oSpowdNJUR8OIIJobc9AqcL-g.miAYZ7LU_Xgv6t5x6AlF3YxHlb6VTv4olkVLbwq9DGM&dib_tag=se&keywords=phones&qid=1716922939&sr=8-3,mobiles,,amazon
"POCO M6 5G (Orion Blue, 8GB RAM, 256GB Storage)",https://m.media-amazon.com/images/I/71jkM1zB22L._AC_UY218_.jpg,"10,999",4,"₹15,999₹15,999",https://www.amazon.in/POCO-Orion-Blue-256GB-Storage/dp/B0CQVP5ZZF/ref=sr_1_4?dib=eyJ2IjoiMSJ9.brV7rG-zDD0MO_wZuT9UcOPBRhwjFqRgViNaLmEuvDmaByzsL6Frscm22hpfygQWKhiGZdRqEYzLBf8iNjzHQjiV4bOn-JTUC3Fgr7a2Y48iBzfXRws0_akMFLydCwi4DqKlNczN69DhwxC7gPCdbd8Gv-5Oc7QYQZcTLj_4v_v8yFbBls6rbkHyxHG8Uyf7RAFB9lXCf6H7Yx4z92oSpowdNJUR8OIIJobc9AqcL-g.miAYZ7LU_Xgv6t5x6AlF3YxHlb6VTv4olkVLbwq9DGM&dib_tag=se&keywords=phones&qid=1716922939&sr=8-4,mobiles,,amazon
"Redmi 13C (Starfrost White, 4GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera",https://m.media-amazon.com/images/I/71scmEdSC2L._AC_UY218_.jpg,"7,699",4.1,"₹11,999₹11,999",https://www.amazon.in/Starfrost-Storage-Powered-MediaTek-Display/dp/B0CMTY5P4V/ref=sr_1_5?dib=eyJ2IjoiMSJ9.brV7rG-zDD0MO_wZuT9UcOPBRhwjFqRgViNaLmEuvDmaByzsL6Frscm22hpfygQWKhiGZdRqEYzLBf8iNjzHQjiV4bOn-JTUC3Fgr7a2Y48iBzfXRws0_akMFLydCwi4DqKlNczN69DhwxC7gPCdbd8Gv-5Oc7QYQZcTLj_4v_v8yFbBls6rbkHyxHG8Uyf7RAFB9lXCf6H7Yx4z92oSpowdNJUR8OIIJobc9AqcL-g.miAYZ7LU_Xgv6t5x6AlF3YxHlb6VTv4olkVLbwq9DGM&dib_tag=se&keywords=phones&qid=1716922939&sr=8-5,mobiles,,amazon
"Samsung Galaxy M34 5G (Prism Silver,6GB,128GB)|120Hz sAMOLED Display|50MP Triple No Shake Cam|6000 mAh Battery|4 Gen OS Upgrade & 5 Year Security Update|12GB RAM with RAM+|Android 13|Without Charger",https://m.media-amazon.com/images/I/91ItZJh1FDL._AC_UY218_.jpg,"12,999",4,"₹24,499₹24,499",https://www.amazon.in/Samsung-sAMOLED-Display-Battery-Security/dp/B0C7C1DRK5/ref=sr_1_6?dib=eyJ2IjoiMSJ9.brV7rG-zDD0MO_wZuT9UcOPBRhwjFqRgViNaLmEuvDmaByzsL6Frscm22hpfygQWKhiGZdRqEYzLBf8iNjzHQjiV4bOn-JTUC3Fgr7a2Y48iBzfXRws0_akMFLydCwi4DqKlNczN69DhwxC7gPCdbd8Gv-5Oc7QYQZcTLj_4v_v8yFbBls6rbkHyxHG8Uyf7RAFB9lXCf6H7Yx4z92oSpowdNJUR8OIIJobc9AqcL-g.miAYZ7LU_Xgv6t5x6AlF3YxHlb6VTv4olkVLbwq9DGM&dib_tag=se&keywords=phones&qid=1716922939&sr=8-6,mobiles,,amazon
POCO C65 Pastel Green 4GB RAM 128GB ROM,https://m.media-amazon.com/images/I/51NkHXXapeL._AC_UY218_.jpg,"6,799",3.8,"₹10,999₹10,999",https://www.amazon.in/POCO-C65-Pastel-Green-128GB/dp/B0CY299SKS/ref=sr_1_7?dib=eyJ2IjoiMSJ9.brV7rG-zDD0MO_wZuT9UcOPBRhwjFqRgViNaLmEuvDmaByzsL6Frscm22hpfygQWKhiGZdRqEYzLBf8iNjzHQjiV4bOn-JTUC3Fgr7a2Y48iBzfXRws0_akMFLydCwi4DqKlNczN69DhwxC7gPCdbd8Gv-5Oc7QYQZcTLj_4v_v8yFbBls6rbkHyxHG8Uyf7RAFB9lXCf6H7Yx4z92oSpowdNJUR8OIIJobc9AqcL-g.miAYZ7LU_Xgv6t5x6AlF3YxHlb6VTv4olkVLbwq9DGM&dib_tag=se&keywords=phones&qid=1716922939&sr=8-7,mobiles,,amazon
"iQOO Z7 Pro 5G (Graphite Matte, 8GB RAM, 256GB Storage) | 3D Curved AMOLED Display | 4nm MediaTek Dimesity 7200 5G Processor | 64MP Aura Light OIS Camera | Segment's Slimmest & Lightest Smartphone",https://m.media-amazon.com/images/I/6196XqJjUZL._AC_UY218_.jpg,"23,999",4.3,"₹27,999₹27,999",https://www.amazon.in/iQOO-Graphite-MediaTek-Processor-Smartphone/dp/B07WFPLDPR/ref=sr_1_8?dib=eyJ2IjoiMSJ9.brV7rG-zDD0MO_wZuT9UcOPBRhwjFqRgViNaLmEuvDmaByzsL6Frscm22hpfygQWKhiGZdRqEYzLBf8iNjzHQjiV4bOn-JTUC3Fgr7a2Y48iBzfXRws0_akMFLydCwi4DqKlNczN69DhwxC7gPCdbd8Gv-5Oc7QYQZcTLj_4v_v8yFbBls6rbkHyxHG8Uyf7RAFB9lXCf6H7Yx4z92oSpowdNJUR8OIIJobc9AqcL-g.miAYZ7LU_Xgv6t5x6AlF3YxHlb6VTv4olkVLbwq9DGM&dib_tag=se&keywords=phones&qid=1716922939&sr=8-8,mobiles,,amazon
"Redmi 13C (Starshine Green, 6GB RAM, 128GB Storage) | Powered by 4G MediaTek Helio G85 | 90Hz Display | 50MP AI Triple Camera",https://m.media-amazon.com/images/I/71hj88T5aBL._AC_UY218_.jpg,"8,499",4.1,"₹13,999₹13,999",https://www.amazon.in/Starshine-Storage-Powered-MediaTek-Display/dp/B0CMTWJ5RV/ref=sr_1_9?dib=eyJ2IjoiMSJ9.brV7rG-zDD0MO_wZuT9UcOPBRhwjFqRgViNaLmEuvDmaByzsL6Frscm22hpfygQWKhiGZdRqEYzLBf8iNjzHQjiV4bOn-JTUC3Fgr7a2Y48iBzfXRws0_akMFLydCwi4DqKlNczN69DhwxC7gPCdbd8Gv-5Oc7QYQZcTLj_4v_v8yFbBls6rbkHyxHG8Uyf7RAFB9lXCf6H7Yx4z92oSpowdNJUR8OIIJobc9AqcL-g.miAYZ7LU_Xgv6t5x6AlF3YxHlb6VTv4olkVLbwq9DGM&dib_tag=se&keywords=phones&qid=1716922939&sr=8-9,mobiles,,amazon
"POCO M6 Pro 5G (Forest Green, 6GB RAM, 128GB Storage)",https://m.media-amazon.com/images/I/51X1axWGFZL._AC_UY218_.jpg,"9,999",3.8,"₹16,999₹16,999",https://www.amazon.in/POCO-Forest-Green-128GB-Storage/dp/B0CDS9PTRQ/ref=sr_1_10?dib=eyJ2IjoiMSJ9.brV7rG-zDD0MO_wZuT9UcOPBRhwjFqRgViNaLmEuvDmaByzsL6Frscm22hpfygQWKhiGZdRqEYzLBf8iNjzHQjiV4bOn-JTUC3Fgr7a2Y48iBzfXRws0_akMFLydCwi4DqKlNczN69DhwxC7gPCdbd8Gv-5Oc7QYQZcTLj_4v_v8yFbBls6rbkHyxHG8Uyf7RAFB9lXCf6H7Yx4z92oSpowdNJUR8OIIJobc9AqcL-g.miAYZ7LU_Xgv6t5x6AlF3YxHlb6VTv4olkVLbwq9DGM&dib_tag=se&keywords=phones&qid=1716922939&sr=8-10,mobiles,,amazon
